Aggregate Timesheet Project -- Nov 01, 2023 to Nov 30, 2023

Case Number,Project,Client Name,Team Member,Billable,Non Billable,Total
"345","test new G.matter",undefined,"Martin - 10","0:0","0:0","0:0"
"345","test new G.matter",undefined,"Vijay TM - 10","0:0","0:0","0:0"
"345","test new G.matter",undefined,"Rachel Swan - 10","0:0","0:0","0:0"
"T62","Audit Case",undefined,"SuperUserRSB - 10","0:0","0:0","0:0"
"vgb567","Land Partition case",undefined,"Susan - 1000","0:0","0:0","0:0"
"vgb567","Land Partition case",undefined,"A-GH - 150","0:0","0:0","0:0"
"vgb567","Land Partition case",undefined,"A-Admin - 200","0:0","0:0","0:0"
"vgb567","Land Partition case",undefined,"A - Team Member - 100","0:0","0:0","0:0"
"vgb567","Land Partition case",undefined,"Miranda Williams - 1200","0:0","0:0","0:0"
"ASU001","ASU-General",undefined,"Susan - 1000","0:0","0:0","0:0"
"ASU001","ASU-General",undefined,"A-GH - 150","0:0","0:0","0:0"
"ASU001","ASU-General",undefined,"A-Super User - 200","3:0","3:0","3:0"
"ASU001","ASU-General",undefined,"A-Admin - 200","0:0","0:0","0:0"
"ASU001","ASU-General",undefined,"Miranda Williams - 1200","0:0","0:0","0:0"
"123","General2Corporate",undefined,"A-Admin - 200","0:0","0:0","0:0"
"123","General2Corporate",undefined,"A - Team Member - 100","0:0","0:0","0:0"
"123","General2Corporate",undefined,"A-GH - 150","0:0","0:0","0:0"
"W32","GEneral Cases",undefined,"RSB TM - 50","0:0","0:0","0:0"
"W32","GEneral Cases",undefined,"SuperUserRSB - 10","0:0","0:0","0:0"
"11","ProdLegalTest",undefined,"A-Super User - 200","0:0","0:0","0:0"
"11","ProdLegalTest",undefined,"A-GH - 150","0:0","0:0","0:0"
"11","ProdLegalTest",undefined,"A - Team Member - 100","0:0","0:0","0:0"
"11","ProdLegalTest",undefined,"AK - TM - 10","0:0","0:0","0:0"
"33","ProdGeneralMatter",undefined,"A-GH - 150","0:30","0:30","0:30"
"33","ProdGeneralMatter",undefined,"Test Data group - 700","0:0","0:0","0:0"
"33","ProdGeneralMatter",undefined,"A-Super User - 200","0:0","0:0","0:0"
"33","ProdGeneralMatter",undefined,"A-Admin - 200","0:0","0:0","0:0"
"33","ProdGeneralMatter",undefined,"A - Team Member - 100","0:30","0:30","0:30"
"1","ProdGeneralMatterTest",undefined,"A-Admin - 200","0:0","0:0","0:0"
"1","ProdGeneralMatterTest",undefined,"A - Team Member - 100","2:0","2:0","2:0"
"1","ProdGeneralMatterTest",undefined,"A-GH - 150","0:30","0:30","0:30"
"MK32","Matter SU General",undefined,"SuperUserRSB - 10","0:0","0:0","0:0"
"122","GeneralMatterTestTM",undefined,"A-Super User - 200","0:0","0:0","0:0"
"122","GeneralMatterTestTM",undefined,"AK - TM - 10","0:0","0:0","0:0"
"122","GeneralMatterTestTM",undefined,"A - Team Member - 100","1:0","1:0","1:0"
"122","GeneralMatterTestTM",undefined,"A-GH - 150","0:0","0:0","0:0"
"M32","General Case in Lauditor",undefined,"SuperUserRSB - 10","0:0","0:0","0:0"
"gt567","Mewon General matter",undefined,"SuperUserRSB - 10","0:0","0:0","0:0"
"gt567","Mewon General matter",undefined,"Neela C RSB - 100","0:0","0:0","0:0"
"gt567","Mewon General matter",undefined,"Susan - 1000","0:0","0:0","0:0"
"gt567","Mewon General matter",undefined,"Mewon - 678","0:30","0:30","0:30"
"2","ATMGeneral-Matter",undefined,"A-GH - 150","0:0","0:0","0:0"
"2","ATMGeneral-Matter",undefined,"A-Super User - 200","0:0","0:0","0:0"
"2","ATMGeneral-Matter",undefined,"A-Admin - 200","0:0","0:0","0:0"
"2","ATMGeneral-Matter",undefined,"A - Team Member - 100","0:30","0:30","0:30"
"2","ATMGeneral-Matter",undefined,"AK - TM - 10","0:0","0:0","0:0"
"KI43","Audit General Matter s",undefined,"Karthick RSB TM - 50","0:0","0:0","0:0"
"KI43","Audit General Matter s",undefined,"Vengadesh RSB - 100","0:0","0:0","0:0"
"KI4","Delete mets",undefined,"Vengadesh RSB - 100","2:30","2:30","4:30"
